Flight     | Airline                                  | Arrival Time         | Origin   | Model    | Reg
CZ3721     | China Southern Airlines                  | 2026-02-12 09:45     | CSX      | 32N      | N/A
CZ8555     | China Southern Airlines                  | 2026-02-12 09:45     | WUH      | AJ27     | B-656G
MU2385     | China Eastern Airlines                   | 2026-02-12 09:45     | HFE      | A20N     | B-303E
HU7870     | Hainan Airlines                          | 2026-02-12 09:50     | SZX      | B738     | B-5373
9C8831     | Spring Airlines                          | 2026-02-12 09:50     | SHE      | 320      | N/A
OQ2303     | Chongqing Airlines                       | 2026-02-12 09:50     | CKG      | 320      | N/A
CZ3201     | China Southern Airlines                  | 2026-02-12 10:00     | CAN      | C919     | B-659F
MF8277     | Xiamen Air                               | 2026-02-12 10:00     | JJN      | B738     | B-5659
MU2176     | China Eastern Airlines                   | 2026-02-12 10:00     | UYN      | A319     | B-6461
HU7828     | Hainan Airlines                          | 2026-02-12 10:05     | CAN      | 73H      | N/A
MU2102     | China Eastern Airlines                   | 2026-02-12 10:05     | PKX      | A20N     | B-329P
GJ8153     | Loong Air                                | 2026-02-12 10:05     | HGH      | A20N     | B-321X
MU6916     | China Eastern Airlines                   | 2026-02-12 10:05     | SHE      | A20N     | B-32DE
GX8811     | GX Airlines                              | 2026-02-12 10:10     | NNG      | A20N     | B-32J2
MU6205     | China Eastern Airlines                   | 2026-02-12 10:15     | HGH      | A321     | B-8575
MU6987     | China Eastern Airlines                   | 2026-02-12 10:20     | KHN      | AJ27     | B-655G
3U8230     | Sichuan Airlines                         | 2026-02-12 10:20     | URC      | A320     | B-1885
JD5175     | Capital Airlines (Sanxingdui Livery)     | 2026-02-12 10:25     | SYX      | A321     | B-8107
HO1217     | Juneyao Air                              | 2026-02-12 10:25     | SHA      | A321     | B-1002
CA8503     | Air China                                | 2026-02-12 10:30     | HGH      | A320     | B-6773
MU9821     | China Eastern Airlines                   | 2026-02-12 10:30     | NGB      | A20N     | B-320N
CZ8829     | China Southern Airlines                  | 2026-02-12 10:35     | PKX      | 320      | N/A
CZ5421     | China Southern Airlines                  | 2026-02-12 10:35     | NNG      | 738      | N/A
MU5727     | China Eastern Airlines                   | 2026-02-12 10:40     | KMG      | B738     | B-7592
MU2252     | China Eastern Airlines                   | 2026-02-12 10:40     | URC      | A321     | B-1813
MU2955     | China Eastern Airlines                   | 2026-02-12 10:40     | WUX      | A320     | B-6796
RY8939     | Jiangxi Air                              | 2026-02-12 10:40     | KHN      | 738      | N/A
MU2152     | China Eastern Airlines                   | 2026-02-12 10:45     | SHA      | C919     | B-919C
FM9487     | Shanghai Airlines                        | 2026-02-12 10:45     | CGQ      | B738     | B-6866
9C7001     | Spring Airlines                          | 2026-02-12 10:45     | KHN      | A20N     | B-328U
CZ6237     | China Southern Airlines                  | 2026-02-12 10:50     | SZX      | 320      | N/A
MU5791     | China Eastern Airlines                   | 2026-02-12 10:50     | LUM      | B737     | B-5225
MU2126     | China Eastern Airlines                   | 2026-02-12 10:55     | WUH      | A20N     | B-32E1
MU2366     | China Eastern (Magnificent Qinghai Liver | 2026-02-12 10:55     | DSN      | A319     | B-6458
CA1289     | Air China                                | 2026-02-12 11:00     | PEK      | C919     | B-659K
TV9963     | Tibet Airlines                           | 2026-02-12 11:00     | LXA      | A319     | B-6441
GS7525     | Tianjin Airlines                         | 2026-02-12 11:00     | URC      | A320     | B-8069
HO1009     | Juneyao Air (Yudo Auto Livery)           | 2026-02-12 11:00     | PVG      | A320     | B-8236
HU7510     | Hainan Airlines                          | 2026-02-12 11:05     | CSX      | B738     | B-1996
MF8269     | Xiamen Air                               | 2026-02-12 11:10     | FOC      | B38M     | B-1290
MF8207     | Xiamen Air                               | 2026-02-12 11:15     | XMN      | A20N     | B-32MY
ZH9201     | Shenzhen Airlines                        | 2026-02-12 11:15     | SZX      | 330      | N/A
ZH9221     | Shenzhen Airlines                        | 2026-02-12 11:15     | CAN      | A320     | B-6807
MU706      | China Eastern Airlines                   | 2026-02-12 11:20     | DXB      | A332     | B-5926
CZ6413     | China Southern Airlines                  | 2026-02-12 11:20     | SHE      | 32Q      | N/A
HU7898     | Hainan Airlines                          | 2026-02-12 11:20     | SYX      | 333      | N/A
MU2175     | China Eastern Airlines                   | 2026-02-12 11:20     | PVG      | A319     | B-8379
CA8523     | Air China                                | 2026-02-12 11:25     | WNZ      | A320     | B-8743
CZ6727     | China Southern Airlines                  | 2026-02-12 11:30     | HAK      | 320      | N/A
SC8733     | Shandong Airlines                        | 2026-02-12 11:30     | TNA      | B738     | B-7978
CZ6965     | China Southern Airlines                  | 2026-02-12 11:35     | DLC      | A320     | B-9912
CZ3237     | China Southern Airlines                  | 2026-02-12 11:40     | CAN      | B77W     | B-20DM
CA8105     | Air China                                | 2026-02-12 11:40     | HET      | AJ27     | B-652H
9C6438     | Spring Airlines                          | 2026-02-12 11:40     | NGB      | A320     | B-1839
GS7608     | Tianjin Airlines (Tianjin Tour Livery)   | 2026-02-12 11:45     | CSX      | A320     | B-9983
KE811      | Korean Air                               | 2026-02-12 11:45     | ICN      | 333      | N/A
MU2225     | China Eastern Airlines                   | 2026-02-12 11:45     | SHA      | C919     | B-657S
MU2263     | China Eastern Airlines                   | 2026-02-12 11:45     | KMG      | B38M     | B-1383
9H8306     | Air Changan                              | 2026-02-12 11:50     | KMG      | B738     | B-5581
MU5050     | China Eastern (Magnificent Qinghai Liver | 2026-02-12 11:50     | YNT      | A320     | B-9942
MU6204     | China Eastern (Magnificent Qinghai Liver | 2026-02-12 11:55     | JIC      | A319     | B-6452
MU2316     | China Eastern Airlines                   | 2026-02-12 11:55     | FOC      | A20N     | B-30FD
TV6054     | Tibet Airlines                           | 2026-02-12 11:55     | BPX      | A319     | B-309V
CZ3213     | China Southern Airlines                  | 2026-02-12 12:00     | SZX      | 32Q      | N/A
SC2191     | Shandong Airlines                        | 2026-02-12 12:00     | XMN      | B38M     | B-208N
HU7867     | Hainan Airlines                          | 2026-02-12 12:05     | URC      | B738     | B-5623
CZ3761     | China Southern Airlines                  | 2026-02-12 12:05     | ZUH      | 738      | N/A
MU2262     | China Eastern Airlines                   | 2026-02-12 12:10     | CKG      | A20N     | B-304P
MU2288     | China Eastern Airlines                   | 2026-02-12 12:10     | UYN      | A319     | B-6431
MU5562     | China Eastern Airlines                   | 2026-02-12 12:10     | HIA      | A319     | B-6450
MU2106     | China Eastern Airlines                   | 2026-02-12 12:15     | PKX      | A20N     | B-32DZ
MU9914     | China Eastern Airlines                   | 2026-02-12 12:15     | HFE      | A20N     | B-307F
SC4963     | Shandong Airlines                        | 2026-02-12 12:15     | TAO      | B738     | B-1227
9H8394     | Air Changan                              | 2026-02-12 12:20     | JHG      | B738     | B-1482
GS7780     | Tianjin Airlines                         | 2026-02-12 12:20     | BHY      | A320     | B-9987
JD5138     | Capital Airlines                         | 2026-02-12 12:20     | KMG      | A319     | B-6415
CZ6569     | China Southern Airlines                  | 2026-02-12 12:25     | CGQ      | A320     | B-6826
HU7565     | Hainan Airlines                          | 2026-02-12 12:30     | HAK      | 73H      | N/A
CZ6959     | China Southern Airlines                  | 2026-02-12 12:35     | URC      | 738      | N/A
3U3349     | Sichuan Airlines                         | 2026-02-12 12:40     | HRB      | A321     | B-6836
GS7665     | Tianjin Airlines                         | 2026-02-12 12:40     | UYN      | A320     | B-1619
GS7658     | Tianjin Airlines                         | 2026-02-12 12:45     | LIJ      | E190     | B-3176
HU7874     | Hainan Airlines                          | 2026-02-12 12:50     | SZX      | B789     | B-207U
KY8321     | Kunming Airlines                         | 2026-02-12 12:50     | TCZ      | B737     | B-1459
MU2424     | China Eastern Airlines                   | 2026-02-12 12:50     | WHA      | A319     | B-6423
HU7588     | Hainan Airlines                          | 2026-02-12 12:55     | KWL      | B738     | B-5465
CA1209     | Air China                                | 2026-02-12 12:55     | PEK      | A321     | B-6711
CA9825     | Air China                                | 2026-02-12 13:00     | WNZ      | A319     | B-6048
MU2384     | China Eastern Airlines                   | 2026-02-12 13:00     | CSX      | A21N     | B-32L8
MU6524     | China Eastern Airlines                   | 2026-02-12 13:00     | DOY      | A20N     | B-30AX
