Flight     | Airline                                  | Arrival Time         | Origin   | Model    | Reg
JD5175     | Capital Airlines                         | 2026-02-13 10:25     | SYX      | 321      | N/A
HO1217     | Juneyao Air                              | 2026-02-13 10:25     | SHA      | 320      | N/A
CA9825     | Air China                                | 2026-02-13 10:30     | WNZ      | 319      | N/A
MF8277     | Xiamen Air                               | 2026-02-13 10:30     | JJN      | B738     | B-5846
MU5223     | China Eastern Airlines                   | 2026-02-13 10:30     | NGB      | A320     | B-6010
CZ5421     | China Southern Airlines                  | 2026-02-13 10:35     | NNG      | 738      | N/A
CZ8829     | China Southern Airlines                  | 2026-02-13 10:35     | PKX      | 320      | N/A
GJ8722     | Loong Air                                | 2026-02-13 10:35     | KUL      | 320      | N/A
MU2252     | China Eastern Airlines                   | 2026-02-13 10:40     | URC      | A321     | B-1812
MU5727     | China Eastern Airlines                   | 2026-02-13 10:40     | KMG      | B738     | B-7599
MU2955     | China Eastern Airlines                   | 2026-02-13 10:40     | WUX      | A320     | B-1678
RY8939     | Jiangxi Air                              | 2026-02-13 10:40     | KHN      | 738      | N/A
MU2152     | China Eastern Airlines                   | 2026-02-13 10:45     | SHA      | C919     | B-919C
FM9487     | Shanghai Airlines                        | 2026-02-13 10:45     | CGQ      | 738      | N/A
9C7001     | Spring Airlines                          | 2026-02-13 10:45     | KHN      | 320      | N/A
CZ6237     | China Southern Airlines                  | 2026-02-13 10:50     | SZX      | 333      | N/A
MU2288     | China Eastern Airlines                   | 2026-02-13 10:50     | UYN      | A319     | B-6465
MU5791     | China Eastern Airlines                   | 2026-02-13 10:50     | LUM      | B737     | B-5225
MU2126     | China Eastern (SkyTeam Livery            | 2026-02-13 10:55     | WUH      | A321     | B-8977
MU2366     | China Eastern Airlines                   | 2026-02-13 10:55     | DSN      | A319     | B-6476
CA1289     | Air China                                | 2026-02-13 11:00     | PEK      | 919      | N/A
GS7523     | Tianjin Airlines                         | 2026-02-13 11:00     | URC      | 320      | N/A
TV9963     | Tibet Airlines                           | 2026-02-13 11:00     | LXA      | 319      | N/A
HU7510     | Hainan Airlines                          | 2026-02-13 11:05     | CSX      | 73H      | N/A
3U3282     | Sichuan Airlines                         | 2026-02-13 11:05     | YBP      | 320      | N/A
MF8269     | Xiamen Air                               | 2026-02-13 11:10     | FOC      | B738     | B-7179
MF8207     | Xiamen Air                               | 2026-02-13 11:15     | XMN      | B788     | B-2768
ZH9201     | Shenzhen Airlines                        | 2026-02-13 11:15     | SZX      | 320      | N/A
ZH9221     | Shenzhen Airlines                        | 2026-02-13 11:15     | CAN      | 320      | N/A
CZ6413     | China Southern Airlines                  | 2026-02-13 11:20     | SHE      | 32N      | N/A
HU7898     | Hainan Airlines                          | 2026-02-13 11:20     | SYX      | 333      | N/A
MU2163     | China Eastern Airlines                   | 2026-02-13 11:20     | PVG      | A319     | B-6450
MU9763     | China Eastern Airlines                   | 2026-02-13 11:25     | NKG      | A319     | B-6472
CA8523     | Air China                                | 2026-02-13 11:25     | WNZ      | 320      | N/A
CZ6727     | China Southern Airlines                  | 2026-02-13 11:30     | HAK      | 320      | N/A
SC8733     | Shandong Airlines                        | 2026-02-13 11:30     | TNA      | 7M8      | N/A
